apprehension_date,apprehension_state,apprehension_aor,final_program,final_program_group,apprehension_method,apprehension_criminality,case_status,case_category,departed_date,departure_country,final_order_yes_no,final_order_date,birth_year,citizenship_country,gender,apprehension_site_landmark,unique_identifier,apprehension_date_time,duplicate_likely,file_original,sheet_original,row_original
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-03-03,TRINIDAD AND TOBAGO,YES,2024-05-23,1995,TRINIDAD AND TOBAGO,Male,WENDE CORRECTIONAL FACILITY,1d44f859e1efe2e356206c85efa9970c11f79dd8,2025-01-03 07:01:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,42644
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-02-03,COLOMBIA,YES,2024-08-20,2002,COLOMBIA,Male,WENDE CORRECTIONAL FACILITY,87c20073f8289c87069396bbcc850e317a8029dd,2025-01-03 07:01:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,196996
2025-01-03,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-03-11,TRINIDAD AND TOBAGO,YES,2017-06-06,1979,TRINIDAD AND TOBAGO,Male,WENDE CORRECTIONAL FACILITY,3f745b2783b77da30f60ad2f813d0209d44890e9,2025-01-03 07:02:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,92048
2025-01-03,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1995,EL SALVADOR,Male,RENSSELAER COUNTY,60dcff64ead4a3f30406e6078ff1e4cff741a6f6,2025-01-03 12:48:45 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,140488
2025-01-06,NEW YORK,New York City Area of Responsibility,Alternatives to Detention,ICE,Located,1 Convicted Criminal,6-Deported/Removed - Deportability,[16] Reinstated Final Order,2025-06-24,ECUADOR,YES,2024-09-29,1999,ECUADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",9a24e6199c46609f5ab62b3415b98451690ae878,2025-01-06 08:36:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,223777
2025-01-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Located,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2025-01-22,GUATEMALA,YES,2021-09-08,1991,GUATEMALA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",433e245b4deb6008a37f0a5cff624d83f1480180,2025-01-06 08:56:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,97578
2025-01-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1997,VENEZUELA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",f8e4e0c3ca930966a08db45610584ce1d3254767,2025-01-06 09:52:39 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,361210
2025-01-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2001,COLOMBIA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",b7353c309faebf417221450e5269a0bfcc86c9b7,2025-01-06 10:13:19 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,265940
2025-01-06,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2008,GUATEMALA,Female,ONONDAGA COUNTY,905cc8423140c5eab08982accb06047b5bebae3a,2025-01-06 10:55:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,209516
2025-01-06,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,6-Deported/Removed - Deportability,[16] Reinstated Final Order,2025-01-20,MEXICO,YES,1994-11-14,1970,MEXICO,Male,"NBG GENERAL AREA, NON-SPECIFIC",fbbbcf38c0e9fb6e1db34a753be102f875145883,2025-01-06 13:39:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,365417
2025-01-07,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,YES,2025-09-10,1981,NICARAGUA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",48c9e55f034835471104700b7009dc4ca59a4c59,2025-01-07 09:50:06 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,105781
2025-01-07,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-06-05,PERU,YES,2025-05-20,1959,PERU,Male,WENDE CORRECTIONAL FACILITY,0d4a69e77357659766c572e8e8ba15d43a9983b9,2025-01-07 11:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,19367
2025-01-07,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1975,DOMINICAN REPUBLIC,Male,"NDD - 26 FEDERAL PLAZA NY, NY",966974e9331b7efb67f992b24eeaa976c0e7a599,2025-01-07 11:16:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,218438
2025-01-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,ACTIVE,[2B] Deportable - Under Adjudication by BIA,,,NO,,1991,GUINEA,Male,"NBG GENERAL AREA, NON-SPECIFIC",29a00f360fb694d21c9d81d30e0ea5fab534b5b6,2025-01-07 12:20:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,60481
2025-01-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-26,HONDURAS,YES,2025-01-21,2003,HONDURAS,Male,"CIP GENERAL AREA, NON-SPECIFIC",62656d36f887cafd2f7bc029a67934fc16d14dbd,2025-01-07 13:09:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,142644
2025-01-07,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-11,ECUADOR,YES,2025-01-22,1992,ECUADOR,Male,GREENE COUNTY JAIL,4007b0cedfce2273de362c9ef04a6f1939a2925b,2025-01-07 16:13:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,92930
2025-01-08,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-05-22,MALI,YES,2022-03-07,1985,MALI,Male,WENDE CORRECTIONAL FACILITY,1150a8ba5ae53a5c8a4199d1ae5011486d89665c,2025-01-08 06:45:17 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,25194
2025-01-08,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-04-01,DOMINICAN REPUBLIC,YES,2025-03-14,1990,DOMINICAN REPUBLIC,Male,ATD NY STATE,316afd59ea26ce936c7c46bea149318739b0c075,2025-01-08 06:46:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,71741
2025-01-08,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-01-20,MEXICO,YES,2024-10-25,1986,MEXICO,Male,WENDE CORRECTIONAL FACILITY,34fa16c3f1bfbbe8bd9084bcd83d805e3bda7101,2025-01-08 06:47:49 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,76987
2025-01-08,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,ACTIVE,[3] Deportable - Administratively Final Order,,,YES,2025-03-20,1999,"CHINA, PEOPLES REPUBLIC OF",Male,WENDE CORRECTIONAL FACILITY,835627118233e1250dbc0e4527461ac4cc249f82,2025-01-08 06:51:56 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,190650
2025-01-08,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1986,MEXICO,Male,"NBG GENERAL AREA, NON-SPECIFIC",e9776441b4d23dba747a2ab6614be1c0adb4c2b8,2025-01-08 08:21:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,339151
2025-01-08,NEW YORK,New York City Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[16] Reinstated Final Order,2025-01-27,MEXICO,YES,2022-11-21,1973,MEXICO,Male,CAP - OTISVILLE FEDERAL CORRECTIONAL FACILITY NY STATE,0328c2ba50ff7de181998351b9306634efdb05da,2025-01-08 09:33:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,4630
2025-01-08,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2002,NICARAGUA,Female,"NDD - 26 FEDERAL PLAZA NY, NY",be05a01e71caa09a697ba22650ad8cce6da958b7,2025-01-08 10:03:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,276120
2025-01-08,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-03,MEXICO,YES,2025-01-29,1974,MEXICO,Male,"NBG GENERAL AREA, NON-SPECIFIC",b9e666b8585003abd3f16270a3f9078c6a7e33ec,2025-01-08 11:02:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,270026
2025-01-08,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,ACTIVE,[5C] Relief Granted - Withholding of Deportation / Removal,,,YES,2020-07-08,1988,SUDAN,Male,CLINTON COUNTY JAIL,f2c888667c3ebce1b48646618b161762e484fec5,2025-01-08 11:39:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,352406
2025-01-08,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Located,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1987,VENEZUELA,Male,SARATOGA COUNTY,8925032b2c1cc2b8831c4b364aaf4fa23789b7ab,2025-01-08 12:01:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,199083
2025-01-08,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-01-20,MEXICO,YES,2014-11-17,1995,MEXICO,Male,WYOMING COUNTY,abd6a6d944af0f883010a2c70697ccef27d0792f,2025-01-08 12:04:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,249536
2025-01-08,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Located,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-11,INDIA,YES,2024-06-27,1999,INDIA,Male,ONONDAGA COUNTY,f118587fa63a95ce263a5b7bd7ffe2fa78b93264,2025-01-08 12:24:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,350030
2025-01-08,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1981,JAMAICA,Male,ERIE COUNTY,615c81c2d4c7a54292cfd9149d6d8857be731d34,2025-01-08 12:48:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,141143
2025-01-09,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,ACTIVE,[16] Reinstated Final Order,,,NO,,1977,MEXICO,Male,JCART STREET ARREST NY STATE,fce5f8852315b901578ef7d3b48a775866af3c81,2025-01-09 13:01:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,367132
2025-01-10,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-01-28,ECUADOR,YES,2020-01-16,1992,ECUADOR,Male,WENDE CORRECTIONAL FACILITY,046c2d6ed5fafd20bd6350a1e7450e904d18fd3c,2025-01-10 07:29:24 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,6487
2025-01-10,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-21,HONDURAS,YES,2015-02-28,1994,HONDURAS,Male,FEDERAL CORRECTIONAL INSTITUTE RAY BROOK,63be39aa5ba45a78723fb72ef859d55bac092da2,2025-01-10 08:50:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,144604
2025-01-10,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-01-20,MEXICO,YES,2015-09-22,1995,MEXICO,Male,FEDERAL CORRECTIONAL INSTITUTE RAY BROOK,588deec42cf527247f679fbb833f5a392ac322f9,2025-01-10 09:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,128586
2025-01-10,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2002,NICARAGUA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",b4e2806c4deb06d38401a39d3659e25ff96a6d66,2025-01-10 10:59:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,262556
2025-01-10,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Located,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-02-10,COLOMBIA,YES,2020-09-16,1959,COLOMBIA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",d847403fae3ee802ab7fa918cc4edf770ad01692,2025-01-10 10:59:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,314179
2025-01-10,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1990,DOMINICAN REPUBLIC,Female,"NDD - 26 FEDERAL PLAZA NY, NY",ca526adf2d0fb18dab59f465d2f0d5c35d3308df,2025-01-10 11:11:36 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,293906
2025-01-13,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-17,MEXICO,YES,2025-02-05,1980,MEXICO,Male,ALBANY COUNTY,4f1d36bbab94752d72eaaabf95ef952a1f948d6e,2025-01-13 01:27:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,114931
2025-01-13,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Located,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-03-04,INDIA,YES,2020-03-10,1983,INDIA,Male,ONONDAGA COUNTY,b7788b4314d6c51c9db04e22f553f43ca0c54ea0,2025-01-13 10:20:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,266353
2025-01-13,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Located,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2025-02-05,EL SALVADOR,YES,2024-04-19,1991,EL SALVADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",96298be166a717a3f789d26fa6f035bd4585d1b6,2025-01-13 10:28:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,218087
2025-01-13,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8G] Expedited Removal - Credible Fear Referral,,,NO,,1991,VENEZUELA,Male,"CIP GENERAL AREA, NON-SPECIFIC",2885662cbdd1945b6a91f6e033f1c42ddebc8cb3,2025-01-13 12:15:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,58869
2025-01-13,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,5-Title 50 Expulsion,[8B] Excludable / Inadmissible - Under Adjudication by IJ,2025-03-15,EL SALVADOR,NO,,1997,VENEZUELA,Male,"CIP GENERAL AREA, NON-SPECIFIC",35f135677183deabd96b3f39b9f3a32153a19f2f,2025-01-13 13:15:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,78364
2025-01-13,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-16,VENEZUELA,YES,2025-02-19,1990,VENEZUELA,Male,"CIP GENERAL AREA, NON-SPECIFIC",435402401d7adbf260d1b1761c5916eb37aa998e,2025-01-13 13:15:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,97681
2025-01-13,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Other Task Force,2 Pending Criminal Charges,5-Title 50 Expulsion,[8B] Excludable / Inadmissible - Under Adjudication by IJ,2025-03-15,EL SALVADOR,NO,,1997,VENEZUELA,Male,"CIP GENERAL AREA, NON-SPECIFIC",c1b8026fd8ec264b2391fe1458119162e643e2da,2025-01-13 13:15:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,281585
2025-01-13,NEW YORK,New York City Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-21,HONDURAS,YES,2025-01-22,1992,HONDURAS,Male,CAP - ORANGE COUNTY JAIL NY STATE,5df215fdf0979c3c0094dd28f43dbd0aa897ff1f,2025-01-13 13:23:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,136361
2025-01-13,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,5-Title 50 Expulsion,[8B] Excludable / Inadmissible - Under Adjudication by IJ,2025-03-15,EL SALVADOR,NO,,1997,VENEZUELA,Male,"CIP GENERAL AREA, NON-SPECIFIC",621e933cad1408953d47ef32f4945db038d927af,2025-01-13 14:39:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,142258
